TPR@1%FPR,blurring,,,,,,TPR@1%FPR,"brightness
",,,,,,TPR@1%FPR,"compression
",,,,,,TPR@1%FPR,"contrast
",,,,,,TPR@1%FPR,"noise
",,,,
SSL,0.999966667,0.909433333,0.509733333,0.4728,0.443866667,,SSL,0.999,0.990733333,0.9754,0.9489,0.915833333,,SSL,0.575133333,0.672733333,0.7596,0.835866667,0.921466667,,SSL,0.999833333,0.998566667,0.9944,0.9868,0.9754,,SSL,0.988766667,0.839666667,0.699066667,0.6177,0.574266667
StegaStamp,1,0.993,0.902,0.765,0.687,,StegaStamp,0.998,0.992,0.983,0.97,0.957,,StegaStamp,0.928,0.998,0.999,0.999,0.999,,StegaStamp,0.999,0.998,0.996,0.993,0.99,,StegaStamp,0.999,0.999,0.998,0.995,0.991
TrustMark_C,0.9982,0.99572,0.95664,0.79831,0.63783,,TrustMark_C,0.99451,0.97474,0.94835,0.9204,0.89434,,TrustMark_C,0.82197,0.97621,0.99052,0.99422,0.99609,,TrustMark_C,0.99587,0.98621,0.97132,0.95356,0.93634,,TrustMark_C,0.99747,0.99558,0.99056,0.98133,0.96731
EditGuard,0.600140625,0.519609375,0.476265625,0.481078125,0.494609375,,EditGuard,0.999703125,0.99759375,0.99446875,0.990140625,0.98034375,,EditGuard,0.619453125,0.731625,0.801265625,0.87275,0.928578125,,EditGuard,0.999859375,0.99959375,0.999265625,0.99803125,0.996859375,,EditGuard,0.99925,0.9455,0.859359375,0.80578125,0.773609375
VINE-R,0.9999,0.9893,0.9666,0.9186,0.8038,,VINE-R,0.9997,0.9939,0.9836,0.97,0.9554,,VINE-R,0.9648,0.9975,0.9998,0.9998,1,,VINE-R,0.9999,0.9998,0.9992,0.998,0.9965,,VINE-R,1,0.9995,0.9976,0.994,0.9893
VINE-B,0.9994,0.9565,0.9233,0.868,0.7577,,VINE-B,0.9981,0.988,0.9738,0.95656,0.9387,,VINE-B,0.9198,0.9915,0.9984,0.9992,0.9996,,VINE-B,0.9996,0.9981,0.995,0.9911,0.9869,,VINE-B,0.9995,0.9975,0.9916,0.9828,0.9714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROC,blurring,,,,,,AUROC,"brightness
",,,,,,AUROC,"compression
",,,,,,AUROC,"contrast
",,,,,,AUROC,"noise
",,,,
,1,3,5,7,9,,,1.2,1.4,1.6,1.8,2,,,10,25,40,55,70,,,1.2,1.4,1.6,1.8,2,,,0.02,0.04,0.06,0.08,0.1
MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1,,MBRS,0.9998245,1,1,1,1,,MBRS,1,1,1,1,1,,MBRS,1,1,1,1,1
