Ultra edit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TPR@1%FPR,,,,,,TPR@0.1%FPR,,,,,,Bit Acc,,,,,,AUROC,,,,,,folder path of watermarked imgs,folder path of csv (encoding),folder path of csv (decoding)
,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,guidance=5,guidance=6,guidance=7,guidance=8,guidance=9,,,,
CIN,0.829,0.815,0.791,0.776,0.758,,0.722,0.702,0.68,0.665,0.65,,0.846633333,0.8387,0.8287,0.818666667,0.8128,,0.9677975,0.966804,0.9595165,0.946241,0.9416885,,,,
PIMoG,0.923,0.894,0.876,0.855,0.851,,0.868,0.84,0.823,0.794,0.769,,0.936066667,0.9228,0.9113,0.901233333,0.893933333,,0.9831045,0.9768565,0.968044,0.965328,0.961399,,,,
RivaGAN,0.642,0.602,0.578,0.553,0.529,,0.389,0.361,0.334,0.315,0.299,,0.732375,0.7205,0.70975,0.703375,0.696,,0.9095585,0.896307,0.8819535,0.880339,0.86982,,,,
SepMark,0.931,0.923,0.902,0.879,0.875,,0.868,0.846,0.821,0.799,0.795,,0.929,0.921633333,0.910433333,0.905,0.8994,,0.9872165,0.9862035,0.9755735,0.975544,0.9700345,,,,
Trustmark,0.921,0.896,0.87,0.857,0.85,,0.908,0.874,0.852,0.838,0.823,,0.87176,0.85597,0.8433,0.83153,0.8234,,0.971405,0.968211,0.9540325,0.9399955,0.935469,,,,
DWTDCT,0.008,0.01,0.005,0.014,0.008,,0,0.002,0,0,0,,0.488733333,0.4895,0.4881,0.4894,0.490066667,,0.493709,0.4943855,0.4901115,0.4922805,0.5014695,,,,
DWTDCTSVD,0.49,0.432,0.417,0.399,0.358,,0.371,0.324,0.3,0.274,0.273,,0.684733333,0.6573,0.6477,0.6389,0.630966667,,0.7874135,0.746844,0.733268,0.7221255,0.7113955,,,,
SSL,0.63,0.595,0.567,0.542,0.524,,0.555,0.531,0.498,0.464,0.457,,0.754066667,0.742666667,0.730866667,0.718366667,0.7137,,0.922022,0.9142805,0.904732,0.8940165,0.8910675,,,,
StegaStamp,0.956,0.939,0.926,0.917,0.901,,0.946,0.924,0.912,0.897,0.88,,0.936,0.924,0.912,0.901,0.891,,0.9912725,0.9854525,0.982985,0.9759065,0.9735235,,,,
EditGuard,0.011,0.009,0.009,0.007,0.008,,0.005,0.002,0.002,0.001,0.002,,0.487875,0.48784375,0.486984375,0.486015625,0.48821875,,0.440703,0.446553,0.4397015,0.4381655,0.446113,,,,
VINE-R,0.989,0.972,0.967,0.964,0.957,,0.967,0.962,0.943,0.932,0.925,,0.9362,0.9252,0.9164,0.91,0.9037,,0.9984,0.9982,0.9967,0.9942,0.9942,,,,
VINE-B,0.941,0.921,0.902,0.9,0.889,,0.914,0.89,0.87,0.876,0.857,,0.8929,0.8801,0.8697,0.8667,0.8554,,0.9919,0.9856,0.9772,0.9826,0.9852,,,,
